targetID,frameIndex,cameraID,expectedX,expectedY,actualX,actualY
1,2462,14,126.94934421,488.01050339,125.03906250,486.14062500
1,516,16,832.31288684,320.47853024,837.57812500,319.09375000
1,4929,3,887.73507686,289.95091539,891.57031250,286.05468750
1,3849,18,1209.08562228,953.09270027,1202.49218750,950.57812500
1,186,19,132.07805211,908.09615985,127.23437500,906.37500000
1,8,19,279.94041966,69.95194839,273.99218750,67.60937500
1,1432,7,337.74040566,722.13144549,334.61718750,724.66406250
1,2306,17,104.19242872,103.54508740,105.82031250,104.21093750
1,2622,11,219.05868740,953.10433309,221.38281250,953.67968750
1,356,19,1127.22814210,904.54058815,1119.21093750,905.33593750
1,4631,9,429.08398881,952.88661945,426.69531250,955.90625000
1,5092,3,1208.87832087,459.94072715,1212.94531250,456.18750000
1,1973,20,1049.07861691,313.11499223,1048.83593750,312.67187500
1,657,13,1086.96702282,113.99241514,1088.54687500,119.16406250
1,3121,8,901.03953687,903.88158502,902.12500000,905.85156250
1,3684,21,1152.11796477,173.95730277,1149.14062500,176.30468750
1,1814,20,1209.08316341,400.09353573,1207.14062500,401.81250000
1,972,13,458.70090164,841.66309066,452.11718750,843.75781250
1,2124,17,69.96149874,922.92646546,70.41406250,920.61718750
1,828,10,1118.95774897,953.08725378,1116.64062500,955.03125000
1,1596,1,759.10257471,953.09480595,763.80468750,956.42187500
1,2958,8,131.92729950,907.92025192,135.65625000,902.60937500
1,3301,5,482.05334585,109.38551357,480.37500000,104.60937500
1,4469,15,1039.78274023,691.53745903,1043.07031250,695.35156250
1,4007,18,352.07469853,287.99106928,349.00781250,284.30468750
1,1289,1,404.17298009,337.90812925,400.60156250,336.81250000
1,516,13,399.94441084,70.08900066,402.00781250,66.25781250
1,1432,4,972.08935262,907.91536526,971.71093750,912.29687500
1,3492,2,809.04827352,828.11547236,807.96093750,834.89843750
1,9,19,309.97221227,69.92850786,303.57812500,67.19531250
1,3850,20,1205.08802967,912.17399056,1199.54687500,914.13281250
1,4320,9,148.74428725,112.11889567,149.12500000,110.94531250
1,2306,14,1180.07195270,69.88542761,1178.14843750,76.39843750
1,1120,7,69.90345122,802.99492404,72.67187500,802.31250000
1,4790,3,1121.43016400,398.31166839,1126.81250000,394.92968750
1,4930,6,427.13371661,114.04301528,423.28906250,112.04687500
1,2811,9,116.75547680,73.53717937,117.75000000,72.81250000
1,4160,14,1170.56084446,318.54158638,1172.76562500,321.90625000
1,186,16,1108.28871495,684.13039394,1110.17968750,688.70312500
1,356,16,159.00308967,952.96638876,158.96093750,949.31250000
1,2623,14,1090.64501564,909.96022541,1089.61718750,911.31250000
1,1597,1,728.97885027,953.04943712,733.32031250,956.64062500
1,5093,3,1208.87009482,490.07078985,1213.27343750,486.22656250
1,3685,21,1151.99986264,234.01122331,1149.97656250,235.62500000
1,658,16,126.25638137,81.09612098,132.59375000,80.28125000
1,4631,6,868.52772160,821.82349968,870.88281250,824.24218750
1,3121,5,368.88791757,952.95849469,365.94531250,954.46093750
1,1814,21,95.02600154,404.27132146,84.43750000,401.51562500
1,2463,14,126.94177461,428.05562805,125.43750000,426.03125000
1,3301,2,789.91237504,70.03618012,797.50000000,67.98437500
1,972,10,808.93814011,827.95526381,810.65625000,833.13281250
1,829,13,234.21759145,652.34627748,228.31250000,649.50000000
1,1974,20,1048.97335663,433.06113616,1048.92187500,433.67187500
1,2124,21,107.79465114,937.71943759,100.46093750,934.90625000
1,2958,5,1141.99382315,950.09058393,1139.52343750,949.26562500
1,4469,12,192.06776180,908.07656593,192.76562500,906.81250000
1,4007,15,952.04967601,128.18707136,955.91406250,130.21093750
1,517,16,804.20242328,312.86597844,809.03125000,311.07031250
1,10,19,340.09931871,70.04007817,333.69531250,66.89843750
1,2306,18,1200.31000062,107.83712001,1200.00781250,114.29687500
1,4321,12,1150.01517866,70.02755234,1146.99218750,71.33593750
1,3493,2,688.96661972,828.03008134,686.28125000,833.72656250
1,3850,17,83.24998201,948.12294625,82.71875000,944.42187500
1,4791,6,130.10952398,70.02530713,130.57812500,75.14843750
1,1290,4,940.04168822,70.09093657,942.42187500,68.77343750
1,2812,8,1208.97921653,100.11214514,1207.89062500,104.54687500
1,4930,3,831.08727972,274.25349284,834.02343750,270.24218750
1,1433,7,394.04579559,737.69139022,391.17187500,740.81250000
1,187,19,126.98046947,907.93353165,122.12500000,906.08593750
1,4160,15,70.06582133,322.98385332,71.03125000,320.62500000
1,3686,21,1152.00624101,293.92070888,1150.84375000,295.10937500
1,5094,3,1209.00613401,520.00392303,1213.65625000,516.09375000
1,2623,11,189.00927843,952.91227552,191.86718750,953.03125000
1,4632,9,399.11236027,952.99966416,396.50781250,955.63281250
1,1815,20,1209.09380729,429.92820107,1207.17187500,431.71093750
1,357,19,1156.55488374,912.60900797,1147.60156250,912.73437500
1,1120,4,1199.87918801,757.22848564,1198.03906250,760.36718750
1,1598,1,698.90851682,952.93052041,703.26562500,956.81250000
1,658,13,1146.93377632,114.04762848,1146.64062500,121.09375000
1,2464,14,127.11606776,367.90109296,126.25781250,365.96093750
1,1975,20,1048.95136970,552.99257892,1048.45312500,555.05468750
1,829,10,1089.05216586,952.95119546,1087.28125000,955.36718750
1,3122,8,930.69700675,903.70957126,932.51562500,905.32812500
1,2124,18,1165.88999871,926.01082422,1163.06250000,926.28906250
1,973,13,574.51276885,874.05097568,569.11718750,877.94531250
1,3302,5,452.03179707,109.57515432,450.14843750,104.99218750
1,2959,8,126.88365887,907.95869026,131.12500000,902.51562500
1,4470,15,1095.42483912,676.22137672,1098.60156250,679.88281250
1,4008,18,592.11763831,288.02365967,592.35937500,284.02343750
1,4791,3,1093.69771959,390.64627522,1099.25000000,387.25781250
1,1290,1,376.06662180,345.60968471,372.52343750,344.92968750
1,3850,21,90.98419038,914.94179873,84.88281250,913.12500000
1,2812,9,116.71323025,103.45008559,117.09375000,102.03125000
1,4931,6,487.05101928,114.07849099,483.64062500,111.37500000
1,3494,2,569.08807522,827.88772303,564.53906250,832.04687500
1,2306,15,79.75206719,74.40916595,85.80468750,75.46875000
1,11,19,370.01203768,69.97743655,363.32812500,66.57812500
1,187,16,1113.07584359,682.95617204,1114.96875000,687.51562500
1,4161,14,1170.56349894,288.66362486,1172.51562500,292.20312500
