targetID,frameIndex,cameraID,rotationZ,rotationX,expectedX,expectedY,actualX,actualY
1,406,10,11.96720000,-52.48240000,1161.59441963,742.46896573,1166.75000000,741.75781250
1,695,4,-40.21750000,-18.76380000,83.37390288,929.04259483,91.91406250,929.14062500
1,1395,11,11.96840000,6.12805000,391.08038618,870.82409913,390.25000000,872.93750000
1,2745,9,-46.69990000,39.50710000,889.00057374,993.00047054,886.71875000,994.73437500
1,1569,11,-1.46466000,17.35420000,30.00055953,452.99937417,32.32812500,453.25000000
1,3031,3,-83.31200000,52.32960000,1249.00030545,569.99934075,1248.66406250,567.73437500
1,1481,14,19.46450000,8.13397000,945.99999079,753.00017432,949.28906250,752.34375000
1,2265,15,37.41610000,24.57180000,380.62156492,229.84366642,377.43750000,229.25000000
1,8,19,101.88800000,-41.19730000,449.99787778,29.99115846,443.67968750,27.72656250
1,2157,21,65.74970000,17.44530000,169.00037813,992.99907848,170.28125000,988.00000000
1,1297,20,68.14650000,-11.31650000,333.25406175,925.14840094,327.81250000,926.35937500
1,800,4,-35.37080000,-33.78590000,588.99843847,993.00041484,592.45312500,994.60156250
1,1920,5,-42.57170000,-15.40890000,1077.99911555,856.99980704,1147.25781250,24.46093750
1,2458,15,11.91630000,15.88750000,109.00117268,992.99895061,116.75781250,986.28906250
1,608,10,-6.40515000,-40.93590000,782.25298781,347.42662099,785.70312500,344.01562500
1,1004,1,-101.05600000,-51.44950000,108.00024625,944.00417524,113.16406250,943.86718750
1,116,19,94.07350000,-27.24100000,919.99995801,163.99916422,916.90625000,161.21875000
1,2830,6,-36.90450000,42.65610000,314.04274655,883.45585496,312.25781250,882.20312500
1,890,4,-56.53120000,-39.69350000,730.99846996,438.00188547,731.60156250,436.20312500
1,1115,20,75.50760000,-20.71880000,29.99879956,693.00109956,28.71093750,693.08593750
1,2639,12,-5.92914000,15.80260000,1187.99850978,318.00060108,1186.71875000,317.22656250
1,1839,8,-38.36510000,-20.14480000,44.00577984,874.67123423,51.28125000,873.80468750
1,1668,11,-11.39510000,10.89750000,236.29278913,143.34547141,236.27343750,144.24218750
1,2352,21,73.19300000,40.92270000,890.74366497,704.11413764,888.43750000,705.32031250
1,1222,17,39.03530000,-20.13400000,1249.00023963,30.00070097,1246.59375000,35.57812500
1,1743,9,-35.94320000,15.31600000,77.59548244,805.12143504,76.62500000,797.44531250
1,2931,6,-70.70810000,34.34110000,570.99855275,78.00032163,569.67968750,76.68750000
